# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;rosto risonho;lol|rindo|risada|rosto|rosto risonho
	👨🏼‍🦯;homem com bengala para cego: pele morena clara;accessibilidade|cego|homem|homem com bengala para cego|homem com bengala para cego: pele morena clara|pele morena clara
	👨🏽‍🦯;homem com bengala para cego: pele morena;accessibilidade|cego|homem|homem com bengala para cego|homem com bengala para cego: pele morena|pele morena
	👨🏾‍🦯;homem com bengala para cego: pele morena escura;accessibilidade|cego|homem|homem com bengala para cego|homem com bengala para cego: pele morena escura|pele morena escura
	👨🏿‍🦯;homem com bengala para cego: pele escura;accessibilidade|cego|homem|homem com bengala para cego|homem com bengala para cego: pele escura|pele escura
👨‍🦯‍➡️;homem com bengala para cego de frente para a direita;accessibilidade|cego|homem|homem com bengala para cego|homem com bengala para cego de frente para a direita
	👨🏻‍🦯‍➡️;homem com bengala para cego de frente para a direita;accessibilidade|cego|homem|homem com bengala para cego|homem com bengala para cego de frente para a direita
	👨🏼‍🦯‍➡️;homem com bengala para cego de frente para a direita;accessibilidade|cego|homem|homem com bengala para cego|homem com bengala para cego de frente para a direita
	👨🏽‍🦯‍➡️;homem com bengala para cego de frente para a direita;accessibilidade|cego|homem|homem com bengala para cego|homem com bengala para cego de frente para a direita
	👨🏾‍🦯‍➡️;homem com bengala para cego de frente para a direita;accessibilidade|cego|homem|homem com bengala para cego|homem com bengala para cego de frente para a direita
	👨🏿‍🦯‍➡️;homem com bengala para cego de frente para a direita;accessibilidade|cego|homem|homem com bengala para cego|homem com bengala para cego de frente para a direita
👩‍🦯;mulher com bengala para cego;accessibilidade|cega|mulher|mulher com bengala para cego
	👩🏻‍🦯;mulher com bengala para cego: pele clara;accessibilidade|cega|mulher|mulher com bengala para cego|mulher com bengala para cego: pele clara|pele clara
	👩🏼‍🦯;mulher com bengala para cego: pele morena clara;accessibilidade|cega|mulher|mulher com bengala para cego|mulher com bengala para cego: pele morena clara|pele morena clara
	👩🏽‍🦯;mulher com bengala para cego: pele morena;accessibilidade|cega|mulher|mulher com bengala para cego|mulher com bengala para cego: pele morena|pele morena
	👩🏾‍🦯;mulher com bengala para cego: pele morena escura;accessibilidade|cega|mulher|mulher com bengala para cego|mulher com bengala para cego: pele morena escura|pele morena escura
	👩🏿‍🦯;mulher com bengala para cego: pele escura;accessibilidade|cega|mulher|mulher com bengala para cego|mulher com bengala para cego: pele escura|pele escura
👩‍🦯‍➡️;mulher com bengala para cego de frente para a direita;accessibilidade|cega|mulher|mulher com bengala para cego|mulher com bengala para cego de frente para a direita
	👩🏻‍🦯‍➡️;mulher com bengala para cego de frente para a direita;accessibilidade|cega|mulher|mulher com bengala para cego|mulher com bengala para cego de frente para a direita
	👩🏼‍🦯‍➡️;mulher com bengala para cego de frente para a direita;accessibilidade|cega|mulher|mulher com bengala para cego|mulher com bengala para cego de frente para a direita
	👩🏽‍🦯‍➡️;mulher com bengala para cego de frente para a direita;accessibilidade|cega|mulher|mulher com bengala para cego|mulher com bengala para cego de frente para a direita
	👩🏾‍🦯‍➡️;mulher com bengala para cego de frente para a direita;accessibilidade|cega|mulher|mulher com bengala para cego|mulher com bengala para cego de frente para a direita
	👩🏿‍🦯‍➡️;mulher com bengala para cego de frente para a direita;accessibilidade|cega|mulher|mulher com bengala para cego|mulher com bengala para cego de frente para a direita
🧑‍🦼;pessoa em cadeira de rodas motorizada;acessibilidade|cadeira de rodas|pessoa em cadeira de rodas motorizada
	🧑🏻‍🦼;pessoa em cadeira de rodas motorizada: pele clara;acessibilidade|cadeira de rodas|pele clara|pessoa em cadeira de rodas motorizada|pessoa em cadeira de rodas motorizada: pele clara
	🧑🏼‍🦼;pessoa em cadeira de rodas motorizada: pele morena clara;acessibilidade|cadeira de rodas|pele morena clara|pessoa em cadeira de rodas motorizada|pessoa em cadeira de rodas motorizada: pele morena clara
	🧑🏽‍🦼;pessoa em cadeira de rodas motorizada: pele morena;acessibilidade|cadeira de rodas|pele morena|pessoa em cadeira de rodas motorizada|pessoa em cadeira de rodas motorizada: pele morena
	🧑🏾‍🦼;pessoa em cadeira de rodas motorizada: pele morena escura;acessibilidade|cadeira de rodas|pele morena escura|pessoa em cadeira de rodas motorizada|pessoa em cadeira de rodas motorizada: pele morena escura
	🧑🏿‍🦼;pessoa em cadeira de rodas motorizada: pele escura;acessibilidade|cadeira de rodas|pele escura|pessoa em cadeira de rodas motorizada|pessoa em cadeira de rodas motorizada: pele escura
🧑‍🦼‍➡️;pessoa em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|pessoa em cadeira de rodas motorizada|pessoa em cadeira de rodas motorizada de frente para a direita
	🧑🏻‍🦼‍➡️;pessoa em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|pessoa em cadeira de rodas motorizada|pessoa em cadeira de rodas motorizada de frente para a direita
	🧑🏼‍🦼‍➡️;pessoa em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|pessoa em cadeira de rodas motorizada|pessoa em cadeira de rodas motorizada de frente para a direita
	🧑🏽‍🦼‍➡️;pessoa em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|pessoa em cadeira de rodas motorizada|pessoa em cadeira de rodas motorizada de frente para a direita
	🧑🏾‍🦼‍➡️;pessoa em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|pessoa em cadeira de rodas motorizada|pessoa em cadeira de rodas motorizada de frente para a direita
	🧑🏿‍🦼‍➡️;pessoa em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|pessoa em cadeira de rodas motorizada|pessoa em cadeira de rodas motorizada de frente para a direita
👨‍🦼;homem em cadeira de rodas motorizada;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas motorizada
	👨🏻‍🦼;homem em cadeira de rodas motorizada: pele clara;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas motorizada|homem em cadeira de rodas motorizada: pele clara|pele clara
	👨🏼‍🦼;homem em cadeira de rodas motorizada: pele morena clara;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas motorizada|homem em cadeira de rodas motorizada: pele morena clara|pele morena clara
	👨🏽‍🦼;homem em cadeira de rodas motorizada: pele morena;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas motorizada|homem em cadeira de rodas motorizada: pele morena|pele morena
	👨🏾‍🦼;homem em cadeira de rodas motorizada: pele morena escura;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas motorizada|homem em cadeira de rodas motorizada: pele morena escura|pele morena escura
	👨🏿‍🦼;homem em cadeira de rodas motorizada: pele escura;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas motorizada|homem em cadeira de rodas motorizada: pele escura|pele escura
👨‍🦼‍➡️;homem em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas motorizada|homem em cadeira de rodas motorizada de frente para a direita
	👨🏻‍🦼‍➡️;homem em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas motorizada|homem em cadeira de rodas motorizada de frente para a direita
	👨🏼‍🦼‍➡️;homem em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas motorizada|homem em cadeira de rodas motorizada de frente para a direita
	👨🏽‍🦼‍➡️;homem em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas motorizada|homem em cadeira de rodas motorizada de frente para a direita
	👨🏾‍🦼‍➡️;homem em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas motorizada|homem em cadeira de rodas motorizada de frente para a direita
	👨🏿‍🦼‍➡️;homem em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas motorizada|homem em cadeira de rodas motorizada de frente para a direita
👩‍🦼;mulher em cadeira de rodas motorizada;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas motorizada
	👩🏻‍🦼;mulher em cadeira de rodas motorizada: pele clara;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas motorizada|mulher em cadeira de rodas motorizada: pele clara|pele clara
	👩🏼‍🦼;mulher em cadeira de rodas motorizada: pele morena clara;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas motorizada|mulher em cadeira de rodas motorizada: pele morena clara|pele morena clara
	👩🏽‍🦼;mulher em cadeira de rodas motorizada: pele morena;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas motorizada|mulher em cadeira de rodas motorizada: pele morena|pele morena
	👩🏾‍🦼;mulher em cadeira de rodas motorizada: pele morena escura;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas motorizada|mulher em cadeira de rodas motorizada: pele morena escura|pele morena escura
	👩🏿‍🦼;mulher em cadeira de rodas motorizada: pele escura;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas motorizada|mulher em cadeira de rodas motorizada: pele escura|pele escura
👩‍🦼‍➡️;mulher em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas motorizada|mulher em cadeira de rodas motorizada de frente para a direita
	👩🏻‍🦼‍➡️;mulher em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas motorizada|mulher em cadeira de rodas motorizada de frente para a direita
	👩🏼‍🦼‍➡️;mulher em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas motorizada|mulher em cadeira de rodas motorizada de frente para a direita
	👩🏽‍🦼‍➡️;mulher em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas motorizada|mulher em cadeira de rodas motorizada de frente para a direita
	👩🏾‍🦼‍➡️;mulher em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas motorizada|mulher em cadeira de rodas motorizada de frente para a direita
	👩🏿‍🦼‍➡️;mulher em cadeira de rodas motorizada de frente para a direita;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas motorizada|mulher em cadeira de rodas motorizada de frente para a direita
🧑‍🦽;pessoa em cadeira de rodas manual;acessibilidade|cadeira de rodas|pessoa em cadeira de rodas manual
	🧑🏻‍🦽;pessoa em cadeira de rodas manual: pele clara;acessibilidade|cadeira de rodas|pele clara|pessoa em cadeira de rodas manual|pessoa em cadeira de rodas manual: pele clara
	🧑🏼‍🦽;pessoa em cadeira de rodas manual: pele morena clara;acessibilidade|cadeira de rodas|pele morena clara|pessoa em cadeira de rodas manual|pessoa em cadeira de rodas manual: pele morena clara
	🧑🏽‍🦽;pessoa em cadeira de rodas manual: pele morena;acessibilidade|cadeira de rodas|pele morena|pessoa em cadeira de rodas manual|pessoa em cadeira de rodas manual: pele morena
	🧑🏾‍🦽;pessoa em cadeira de rodas manual: pele morena escura;acessibilidade|cadeira de rodas|pele morena escura|pessoa em cadeira de rodas manual|pessoa em cadeira de rodas manual: pele morena escura
	🧑🏿‍🦽;pessoa em cadeira de rodas manual: pele escura;acessibilidade|cadeira de rodas|pele escura|pessoa em cadeira de rodas manual|pessoa em cadeira de rodas manual: pele escura
🧑‍🦽‍➡️;pessoa em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|pessoa em cadeira de rodas manual|pessoa em cadeira de rodas manual de frente para a direita
	🧑🏻‍🦽‍➡️;pessoa em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|pessoa em cadeira de rodas manual|pessoa em cadeira de rodas manual de frente para a direita
	🧑🏼‍🦽‍➡️;pessoa em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|pessoa em cadeira de rodas manual|pessoa em cadeira de rodas manual de frente para a direita
	🧑🏽‍🦽‍➡️;pessoa em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|pessoa em cadeira de rodas manual|pessoa em cadeira de rodas manual de frente para a direita
	🧑🏾‍🦽‍➡️;pessoa em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|pessoa em cadeira de rodas manual|pessoa em cadeira de rodas manual de frente para a direita
	🧑🏿‍🦽‍➡️;pessoa em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|pessoa em cadeira de rodas manual|pessoa em cadeira de rodas manual de frente para a direita
👨‍🦽;homem em cadeira de rodas manual;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas manual
	👨🏻‍🦽;homem em cadeira de rodas manual: pele clara;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas manual|homem em cadeira de rodas manual: pele clara|pele clara
	👨🏼‍🦽;homem em cadeira de rodas manual: pele morena clara;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas manual|homem em cadeira de rodas manual: pele morena clara|pele morena clara
	👨🏽‍🦽;homem em cadeira de rodas manual: pele morena;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas manual|homem em cadeira de rodas manual: pele morena|pele morena
	👨🏾‍🦽;homem em cadeira de rodas manual: pele morena escura;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas manual|homem em cadeira de rodas manual: pele morena escura|pele morena escura
	👨🏿‍🦽;homem em cadeira de rodas manual: pele escura;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas manual|homem em cadeira de rodas manual: pele escura|pele escura
👨‍🦽‍➡️;homem em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas manual|homem em cadeira de rodas manual de frente para a direita
	👨🏻‍🦽‍➡️;homem em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas manual|homem em cadeira de rodas manual de frente para a direita
	👨🏼‍🦽‍➡️;homem em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas manual|homem em cadeira de rodas manual de frente para a direita
	👨🏽‍🦽‍➡️;homem em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas manual|homem em cadeira de rodas manual de frente para a direita
	👨🏾‍🦽‍➡️;homem em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas manual|homem em cadeira de rodas manual de frente para a direita
	👨🏿‍🦽‍➡️;homem em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|homem|homem em cadeira de rodas manual|homem em cadeira de rodas manual de frente para a direita
👩‍🦽;mulher em cadeira de rodas manual;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas manual
	👩🏻‍🦽;mulher em cadeira de rodas manual: pele clara;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas manual|mulher em cadeira de rodas manual: pele clara|pele clara
	👩🏼‍🦽;mulher em cadeira de rodas manual: pele morena clara;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas manual|mulher em cadeira de rodas manual: pele morena clara|pele morena clara
	👩🏽‍🦽;mulher em cadeira de rodas manual: pele morena;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas manual|mulher em cadeira de rodas manual: pele morena|pele morena
	👩🏾‍🦽;mulher em cadeira de rodas manual: pele morena escura;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas manual|mulher em cadeira de rodas manual: pele morena escura|pele morena escura
	👩🏿‍🦽;mulher em cadeira de rodas manual: pele escura;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas manual|mulher em cadeira de rodas manual: pele escura|pele escura
👩‍🦽‍➡️;mulher em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas manual|mulher em cadeira de rodas manual de frente para a direita
	👩🏻‍🦽‍➡️;mulher em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas manual|mulher em cadeira de rodas manual de frente para a direita
	👩🏼‍🦽‍➡️;mulher em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas manual|mulher em cadeira de rodas manual de frente para a direita
	👩🏽‍🦽‍➡️;mulher em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas manual|mulher em cadeira de rodas manual de frente para a direita
	👩🏾‍🦽‍➡️;mulher em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas manual|mulher em cadeira de rodas manual de frente para a direita
	👩🏿‍🦽‍➡️;mulher em cadeira de rodas manual de frente para a direita;acessibilidade|cadeira de rodas|mulher|mulher em cadeira de rodas manual|mulher em cadeira de rodas manual de frente para a direita
🏃;pessoa correndo;corrida|esporte|maratona|maratonista|pessoa correndo
	🏃🏻;pessoa correndo: pele clara;corrida|esporte|maratona|maratonista|pele clara|pessoa correndo|pessoa correndo: pele clara
	🏃🏼;pessoa correndo: pele morena clara;corrida|esporte|maratona|maratonista|pele morena clara|pessoa correndo|pessoa correndo: pele morena clara
	🏃🏽;pessoa correndo: pele morena;corrida|esporte|maratona|maratonista|pele morena|pessoa correndo|pessoa correndo: pele morena
	🏃🏾;pessoa correndo: pele morena escura;corrida|esporte|maratona|maratonista|pele morena escura|pessoa correndo|pessoa correndo: pele morena escura
	🏃🏿;pessoa correndo: pele escura;corrida|esporte|maratona|maratonista|pele escura|pessoa correndo|pessoa correndo: pele escura
🏃‍♂️;homem correndo;corrida|esporte|homem|homem correndo|maratona
	🏃🏻‍♂️;homem correndo: pele clara;corrida|esporte|homem|homem correndo|homem correndo: pele clara|maratona|pele clara
	🏃🏼‍♂️;homem correndo: pele morena clara;corrida|esporte|homem|homem correndo|homem correndo: pele morena clara|maratona|pele morena clara
	🏃🏽‍♂️;homem correndo: pele morena;corrida|esporte|homem|homem correndo|homem correndo: pele morena|maratona|pele morena
	🏃🏾‍♂️;homem correndo: pele morena escura;corrida|esporte|homem|homem correndo|homem correndo: pele morena escura|maratona|pele morena escura
	🏃🏿‍♂️;homem correndo: pele escura;corrida|esporte|homem|homem correndo|homem correndo: pele escura|maratona|pele escura
🏃‍♀️;mulher correndo;corrida|esporte|maratona|mulher|mulher correndo
	🏃🏻‍♀️;mulher correndo: pele clara;corrida|esporte|maratona|mulher|mulher correndo|mulher correndo: pele clara|pele clara
	🏃🏼‍♀️;mulher correndo: pele morena clara;corrida|esporte|maratona|mulher|mulher correndo|mulher correndo: pele morena clara|pele morena clara
	🏃🏽‍♀️;mulher correndo: pele morena;corrida|esporte|maratona|mulher|mulher correndo|mulher correndo: pele morena|pele morena
	🏃🏾‍♀️;mulher correndo: pele morena escura;corrida|esporte|maratona|mulher|mulher correndo|mulher correndo: pele morena escura|pele morena escura
	🏃🏿‍♀️;mulher correndo: pele escura;corrida|esporte|maratona|mulher|mulher correndo|mulher correndo: pele escura|pele escura
🏃‍➡️;pessoa correndo de frente para a direita;corrida|esporte|maratona|maratonista|pessoa correndo|pessoa correndo de frente para a direita
	🏃🏻‍➡️;pessoa correndo de frente para a direita;corrida|esporte|maratona|maratonista|pessoa correndo|pessoa correndo de frente para a direita
	🏃🏼‍➡️;pessoa correndo de frente para a direita;corrida|esporte|maratona|maratonista|pessoa correndo|pessoa correndo de frente para a direita
	🏃🏽‍➡️;pessoa correndo de frente para a direita;corrida|esporte|maratona|maratonista|pessoa correndo|pessoa correndo de frente para a direita
	🏃🏾‍➡️;pessoa correndo de frente para a direita;corrida|esporte|maratona|maratonista|pessoa correndo|pessoa correndo de frente para a direita
	🏃🏿‍➡️;pessoa correndo de frente para a direita;corrida|esporte|maratona|maratonista|pessoa correndo|pessoa correndo de frente para a direita
🏃‍♀️‍➡️;mulher correndo de frente para a direita;corrida|esporte|maratona|mulher|mulher correndo|mulher correndo de frente para a direita
	🏃🏻‍♀️‍➡️;mulher correndo de frente para a direita;corrida|esporte|maratona|mulher|mulher correndo|mulher correndo de frente para a direita
	🏃🏼‍♀️‍➡️;mulher correndo de frente para a direita;corrida|esporte|maratona|mulher|mulher correndo|mulher correndo de frente para a direita
	🏃🏽‍♀️‍➡️;mulher correndo de frente para a direita;corrida|esporte|maratona|mulher|mulher correndo|mulher correndo de frente para a direita
	🏃🏾‍♀️‍➡️;mulher correndo de frente para a direita;corrida|esporte|maratona|mulher|mulher correndo|mulher correndo de frente para a direita
	🏃🏿‍♀️‍➡️;mulher correndo de frente para a direita;corrida|esporte|maratona|mulher|mulher correndo|mulher correndo de frente para a direita
🏃‍♂️‍➡️;homem correndo de frente para a direita;corrida|esporte|homem|homem correndo|homem correndo de frente para a direita|maratona
	🏃🏻‍♂️‍➡️;homem correndo de frente para a direita;corrida|esporte|homem|homem correndo|homem correndo de frente para a direita|maratona
	🏃🏼‍♂️‍➡️;homem correndo de frente para a direita;corrida|esporte|homem|homem correndo|homem correndo de frente para a direita|maratona
	🏃🏽‍♂️‍➡️;homem correndo de frente para a direita;corrida|esporte|homem|homem correndo|homem correndo de frente para a direita|maratona
	🏃🏾‍♂️‍➡️;homem correndo de frente para a direita;corrida|esporte|homem|homem correndo|homem correndo de frente para a direita|maratona
	🏃🏿‍♂️‍➡️;homem correndo de frente para a direita;corrida|esporte|homem|homem correndo|homem correndo de frente para a direita|maratona
💃;mulher dançando;dançando|mulher
	💃🏻;mulher dançando: pele clara;dançando|mulher|mulher dançando: pele clara|pele clara
	💃🏼;mulher dançando: pele morena clara;dançando|mulher|mulher dançando: pele morena clara|pele morena clara
	💃🏽;mulher dançando: pele morena;dançando|mulher|mulher dançando: pele morena|pele morena
	💃🏾;mulher dançando: pele morena escura;dançando|mulher|mulher dançando: pele morena escura|pele morena escura
	💃🏿;mulher dançando: pele escura;dançando|mulher|mulher dançando: pele escura|pele escura
🕺;homem dançando;dançando|homem
	🕺🏻;homem dançando: pele clara;dançando|homem|homem dançando: pele clara|pele clara
	🕺🏼;homem dançando: pele morena clara;dançando|homem|homem dançando: pele morena clara|pele morena clara
	🕺🏽;homem dançando: pele morena;dançando|homem|homem dançando: pele morena|pele morena
	🕺🏾;homem dançando: pele morena escura;dançando|homem|homem dançando: pele morena escura|pele morena escura
	🕺🏿;homem dançando: pele escura;dançando|homem|homem dançando: pele escura|pele escura
🕴️;homem de terno levitando;homem|homem de terno|homem de terno levitando|terno
	🕴🏻;homem de terno levitando: pele clara;homem|homem de terno|homem de terno levitando|homem de terno levitando: pele clara|pele clara|terno
	🕴🏼;homem de terno levitando: pele morena clara;homem|homem de terno|homem de terno levitando|homem de terno levitando: pele morena clara|pele morena clara|terno
	🕴🏽;homem de terno levitando: pele morena;homem|homem de terno|homem de terno levitando|homem de terno levitando: pele morena|pele morena|terno
	🕴🏾;homem de terno levitando: pele morena escura;homem|homem de terno|homem de terno levitando|homem de terno levitando: pele morena escura|pele morena escura|terno
	🕴🏿;homem de terno levitando: pele escura;homem|homem de terno|homem de terno levitando|homem de terno levitando: pele escura|pele escura|terno
👯;pessoas com orelhas de coelho;dançar|festa|orelhas de coelho|pessoas com orelhas de coelho
👯‍♂️;homens com orelhas de coelho;dançarino|festa|homens|homens com orelhas de coelho|orelhas de coelho
👯‍♀️;mulheres com orelhas de coelho;dançarinas|festa|mulheres|mulheres com orelhas de coelho|orelha de coelho
🧖;pessoa na sauna;pessoa na sauna|sauna
	🧖🏻;pessoa na sauna: pele clara;pele clara|pessoa na sauna|pessoa na sauna: pele clara|sauna
	🧖🏼;pessoa na sauna: pele morena clara;pele morena clara|pessoa na sauna|pessoa na sauna: pele morena clara|sauna
	🧖🏽;pessoa na sauna: pele morena;pele morena|pessoa na sauna|pessoa na sauna: pele morena|sauna
	🧖🏾;pessoa na sauna: pele morena escura;pele morena escura|pessoa na sauna|pessoa na sauna: pele morena escura|sauna
	🧖🏿;pessoa na sauna: pele escura;pele escura|pessoa na sauna|pessoa na sauna: pele escura|sauna
🧖‍♂️;homem na sauna;homem na sauna|sauna
	🧖🏻‍♂️;homem na sauna: pele clara;homem na sauna|homem na sauna: pele clara|pele clara|sauna
	🧖🏼‍♂️;homem na sauna: pele morena clara;homem na sauna|homem na sauna: pele morena clara|pele morena clara|sauna
	🧖🏽‍♂️;homem na sauna: pele morena;homem na sauna|homem na sauna: pele morena|pele morena|sauna
	🧖🏾‍♂️;homem na sauna: pele morena escura;homem na sauna|homem na sauna: pele morena escura|pele morena escura|sauna
	🧖🏿‍♂️;homem na sauna: pele escura;homem na sauna|homem na sauna: pele escura|pele escura|sauna
🧖‍♀️;mulher na sauna;mulher na sauna|sauna
	🧖🏻‍♀️;mulher na sauna: pele clara;mulher na sauna|mulher na sauna: pele clara|pele clara|sauna
	🧖🏼‍♀️;mulher na sauna: pele morena clara;mulher na sauna|mulher na sauna: pele morena clara|pele morena clara|sauna
	🧖🏽‍♀️;mulher na sauna: pele morena;mulher na sauna|mulher na sauna: pele morena|pele morena|sauna
	🧖🏾‍♀️;mulher na sauna: pele morena escura;mulher na sauna|mulher na sauna: pele morena escura|pele morena escura|sauna
	🧖🏿‍♀️;mulher na sauna: pele escura;mulher na sauna|mulher na sauna: pele escura|pele escura|sauna
🧗;pessoa escalando;escalar|pessoa escalando
	🧗🏻;pessoa escalando: pele clara;escalar|pele clara|pessoa escalando|pessoa escalando: pele clara
	🧗🏼;pessoa escalando: pele morena clara;escalar|pele morena clara|pessoa escalando|pessoa escalando: pele morena clara
	🧗🏽;pessoa escalando: pele morena;escalar|pele morena|pessoa escalando|pessoa escalando: pele morena
	🧗🏾;pessoa escalando: pele morena escura;escalar|pele morena escura|pessoa escalando|pessoa escalando: pele morena escura
	🧗🏿;pessoa escalando: pele escura;escalar|pele escura|pessoa escalando|pessoa escalando: pele escura
🧗‍♂️;homem escalando;escalar|homem escalando
	🧗🏻‍♂️;homem escalando: pele clara;escalar|homem escalando|homem escalando: pele clara|pele clara
	🧗🏼‍♂️;homem escalando: pele morena clara;escalar|homem escalando|homem escalando: pele morena clara|pele morena clara
	🧗🏽‍♂️;homem escalando: pele morena;escalar|homem escalando|homem escalando: pele morena|pele morena
	🧗🏾‍♂️;homem escalando: pele morena escura;escalar|homem escalando|homem escalando: pele morena escura|pele morena escura
	🧗🏿‍♂️;homem escalando: pele escura;escalar|homem escalando|homem escalando: pele escura|pele escura
🧗‍♀️;mulher escalando;escalar|mulher escalando
	🧗🏻‍♀️;mulher escalando: pele clara;escalar|mulher escalando|mulher escalando: pele clara|pele clara
	🧗🏼‍♀️;mulher escalando: pele morena clara;escalar|mulher escalando|mulher escalando: pele morena clara|pele morena clara
	🧗🏽‍♀️;mulher escalando: pele morena;escalar|mulher escalando|mulher escalando: pele morena|pele morena
	🧗🏾‍♀️;mulher escalando: pele morena escura;escalar|mulher escalando|mulher escalando: pele morena escura|pele morena escura
	🧗🏿‍♀️;mulher escalando: pele escura;escalar|mulher escalando|mulher escalando: pele escura|pele escura
🤺;esgrimista;esgrima|esgrimista|espada|esporte|pessoa
🏇;corrida de cavalos;cavalo|cavalo de corrida|corrida|corrida de cavalos|esporte|jóquei
	🏇🏻;corrida de cavalos: pele clara;cavalo|cavalo de corrida|corrida|corrida de cavalos|corrida de cavalos: pele clara|esporte|jóquei|pele clara
	🏇🏼;corrida de cavalos: pele morena clara;cavalo|cavalo de corrida|corrida|corrida de cavalos|corrida de cavalos: pele morena clara|esporte|jóquei|pele morena clara
	🏇🏽;corrida de cavalos: pele morena;cavalo|cavalo de corrida|corrida|corrida de cavalos|corrida de cavalos: pele morena|esporte|jóquei|pele morena
	🏇🏾;corrida de cavalos: pele morena escura;cavalo|cavalo de corrida|corrida|corrida de cavalos|corrida de cavalos: pele morena escura|esporte|jóquei|pele morena escura
